,Dataset,FeatureSet,Model,BestParams,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Score_Mean,F1_Score_STD
29,Simple,RFE2,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9281070983810709,0.011707002959429159,0.8564689617782596,0.09373532409283156,0.6760317460317461,0.030018051174609785,0.7519194380082685,0.029167113200660864
30,Simple,RFE2,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9217268576172686,0.014341245031046761,0.8013799283154122,0.10355609743126569,0.7047619047619047,0.06788011307125892,0.7430924984937876,0.03962340711172252
31,Simple,RFE2,XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.9244624325446242,0.012828763629281778,0.8492578735070392,0.1112964299236693,0.6652380952380952,0.05154308239137069,0.7393210884954449,0.03187076871028107
32,Simple,Intersection1,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.9271855541718554,0.01895691723620952,0.797023656809191,0.09747329278278755,0.7558730158730158,0.06058753238392278,0.7703437531209427,0.049326891189736835
33,Simple,Intersection1,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.9417517642175177,0.017636346068973005,0.8640475555468822,0.07600595279815997,0.7614285714285715,0.0733457008742482,0.8067783858504141,0.059697852906308156
34,Simple,Intersection1,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9399377334993773,0.018525203782220667,0.8452784178187404,0.06980354925327367,0.766825396825397,0.056129461986531216,0.803625446838792,0.05978870042518684
35,Simple,Intersection1,XGBoost,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.939024491490245,0.020488273083246494,0.8365879416282642,0.08011219772521995,0.7722222222222224,0.061077088034643866,0.8024497372153458,0.06604074316995849
36,Simple,Intersection2,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.8990078870900788,0.03534977793445626,0.7045121867218883,0.12186253355547191,0.6815873015873015,0.056465116645883315,0.6887726496090538,0.08261337130214694
37,Simple,Intersection2,RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9272021585720216,0.013508502331014988,0.8449736467236466,0.08277068130662936,0.6760317460317461,0.03942264096697846,0.7489723901957814,0.043176423086453766
38,Simple,Intersection2,GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.9208177667081776,0.01819684312592727,0.8278999302192223,0.11677963535168746,0.6593650793650794,0.032739995134866626,0.7296287328490718,0.04800022810308417
39,Simple,Intersection2,XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.9244624325446242,0.01314692508025739,0.832308634515531,0.08806021483191284,0.6763492063492064,0.040705543787505585,0.7425221181368722,0.034401461113665203
40,Duplicates,AllFeatures,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.9451721323282276,0.013182948976097232,0.940292357448205,0.014346876984614208,0.936644360235427,0.02076070070343261,0.9383654363742483,0.015063984872270347
41,Duplicates,AllFeatures,RandomForest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.9609993438005155,0.011058611112117839,0.9787778130796101,0.009754930136225944,0.9328549544465048,0.022084993215572876,0.955124609866916,0.013117174692449463
42,Duplicates,AllFeatures,GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9609945423408718,0.010927284135249233,0.9662665536085802,0.006609827034015971,0.9454970571635896,0.01986343552868674,0.9557024565335078,0.012689476450839031
43,Duplicates,AllFeatures,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9609977433139674,0.014983927725723682,0.9675752876549361,0.01625142166924176,0.9442392969442878,0.020937900510405404,0.9556984209540186,0.017039745004538063
44,Duplicates,ManualSelection,DecisionTree,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",0.9316016068884941,0.009338884127778115,0.9304718948015068,0.008909054971993806,0.9151011851971298,0.019377349272630573,0.9226062640002274,0.011161412785797294
45,Duplicates,ManualSelection,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9491285350746628,0.012100587539168723,0.9667095608131083,0.007889462634063768,0.9176570184632752,0.028232746782643328,0.9412872020338738,0.01483571743182411
46,Duplicates,ManualSelection,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.9513900225668603,0.011196382756891702,0.9559616388134398,0.013050076720061117,0.9341207772313149,0.016234739945050494,0.9448572482304416,0.01280729688879254
47,Duplicates,ManualSelection,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9513868215937645,0.00899466804432121,0.9682006000847965,0.010980310292588256,0.921446424252197,0.0201764409093171,0.9440767360742737,0.010789132598616021
48,Duplicates,KeywordFeatures,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.9236872009090764,0.015771570278481493,0.9309594210834822,0.02559787989691146,0.896073530597436,0.022129605417094904,0.912885257155813,0.017520200527174252
49,Duplicates,KeywordFeatures,RandomForest,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9445991581440758,0.014806647659834532,0.9740807791783712,0.01668505657259518,0.8998709989518666,0.02545044809667651,0.9353134343380388,0.01765282196783261
50,Duplicates,KeywordFeatures,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300}",0.9395128118948162,0.014693496503620578,0.9538387585096396,0.021130774427194247,0.9087640087075707,0.02348396286981771,0.9305170363616966,0.017045583369735377
51,Duplicates,KeywordFeatures,XGBoost,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300}",0.9383860693650871,0.012544319721349709,0.9647708074401031,0.017904873138113887,0.8948077078126261,0.021007704094165074,0.9282905136635385,0.014851942760376652
52,Duplicates,ParkingSensores,DecisionTree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",0.9061666746690994,0.01159650925841006,0.890087415183569,0.027369853018103758,0.9024590824800451,0.024751427420137476,0.8956519471746128,0.012311401104224235
53,Duplicates,ParkingSensores,RandomForest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.9338662953537875,0.009005701014161932,0.9447221281886952,0.013604568844096799,0.9049746029186487,0.01990270710790944,0.9242195830680409,0.010684999977121006
54,Duplicates,ParkingSensores,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.933301323602375,0.011633112444695906,0.9288882811244346,0.017691407660288757,0.9214464242521971,0.022072701101006814,0.9249039432455588,0.013371753022840582
