,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
maximum_link_length,0.07637289779437617,0.08987374848560575,0.08530780269534126,0.06073555388336572,-0.028131161697451224,-0.02131838882004649,0.08464236953002344,0.06089483768986346,0.14977899594815833,0.08031393061431236,0.10264454956387745,0.010987156842630623,0.11926684913737791,0.08816442677668261,0.13396310448539378,0.09946281194426877,0.12235899784776248,0.8490648869357909,0.05387476043617627,0.8399984841301504,1.0,0.15264657045640218,0.05077225064917648,0.16389571605527303,0.14467910009502954,0.14572252634771776,0.03937272308476648,-0.10437854158074363,0.013237517042400206,0.04997997688136347,0.028903431053458883,0.049990470724646074,0.06564545386506027,0.06629394592263645,0.02804851183504976,0.046258871189456215,0.021419698872255113,0.11050822301817098,0.0009004855246951602,0.002230902434584083,0.014038777577700681,0.023441197622704926,0.043707780866754954,0.005931562859429019
link_to_text_ratio,-0.17173827998822672,0.01514831031861196,-0.00780327422869959,-0.06560147325160091,-0.174769869333465,-0.15115099996783593,0.2150055248961081,-0.04818976389323043,0.1219539774165661,0.1765834270090248,-0.014215731170547457,0.04088198887404135,-0.09838200250185906,0.14016335200721938,0.029750469572393915,0.26685671247152837,0.2747287928270926,0.0861258261543045,0.278069621712159,0.13557134036889917,0.15264657045640218,1.0,-0.09907939462223352,0.022401693211024688,-0.010402317034952665,0.07336030977624397,0.007380435103472116,-0.18424221071274505,0.05584323852589009,-0.024739620999558214,-0.03127566684668324,0.1068124842862477,0.03593010819696207,-0.04374697596363136,0.025427135296640653,-0.0735348975005745,0.04528951036918954,0.03830365293960143,-0.08268533841862742,0.03377036607792294,-0.018155911546071695,-0.017073912571453184,-0.0022768343641547525,0.01369288874027479
number_non_link_characters,-0.053454963960477664,0.055203141622126285,0.002928794557874075,-0.020461272373068877,-0.02766446206991292,-0.020337021293891974,0.0038549394735567797,0.9945401449012502,0.1399141927170697,0.5206836066067748,-0.01278846156135303,0.06518448769688658,-0.043574097104688465,0.042479115009351136,0.05730497898024335,0.5676830070173999,0.31966345700262927,0.009316963479115209,0.1975133378995593,-0.02330649082709082,0.05077225064917648,-0.09907939462223352,1.0,0.092304983031074,0.08785789501367988,0.0699707042205858,0.2622666689260114,-0.03964600495038761,-0.0056633526814074235,-0.002374754723765652,0.04512788382008922,-0.0006861781515689523,0.019834184303481543,0.38363184802458516,-0.007580162928167865,0.0744832740203044,0.031974542767000846,0.1365402560660476,-0.007544569858874472,-0.006081471989236019,0.28664415289755385,0.7520743894942648,0.04114718781755037,0.0005522961949092581
third_party_requests_ratio,0.04052364819171526,0.14096614181338624,0.10258465821688478,0.17742876904227028,0.03535203988173268,0.07330415015978926,0.22271892514116126,0.10595138174663853,0.30215201308149126,0.07501157252127312,0.0795838074265629,-0.09445369778994711,0.0017111931700980155,0.18016145490375254,0.7382421462884577,0.15297718142706335,0.11759628132705419,0.08235291961274338,0.08326453702118587,0.10383500184533304,0.16389571605527303,0.022401693211024688,0.092304983031074,1.0,0.9313616728987889,0.7957523031636581,-0.06466201076126848,-0.32802919302410793,0.026993082237809926,0.0789648844156917,0.08994078492449044,0.06211022481850866,0.11694787658615478,0.06995671992927152,0.10823720782916661,0.1840795025471856,0.11863710852327894,0.1593511290553912,0.07148616717726976,-0.03151331186043708,0.13685227308111186,0.016897028179449342,0.04214049007013344,0.019719014453042583
third_party_data_ratio,0.06948625800650554,0.12440566231406311,0.06831002694777788,0.1707526230667265,0.04477811945689538,0.07112063272987622,0.17006005880439048,0.09880700808733721,0.2533736857909167,0.05658910082026286,0.10477663118421063,-0.08902512006560694,0.024359075490002966,0.14950185131357024,0.709595721015314,0.13531447406847874,0.10505796293402207,0.09146111806236898,0.06892423776872766,0.09856674325385445,0.14467910009502954,-0.010402317034952665,0.08785789501367988,0.9313616728987889,1.0,0.7588487096054292,-0.10847345076152785,-0.31682458241011724,0.02940438954762316,0.06910210861678873,0.0853123730264775,0.056333732681024054,0.10304272386455413,0.058321136424752965,0.07022270129539902,0.161029709055002,0.11089564033265248,0.14116738775761783,0.06752139212156492,-0.04659015944562876,0.12887772837675932,0.008056842405747593,0.032998149452885865,0.019971881004224527
third_party_html_content_ratio,-0.07429536216457147,0.12906516862818038,0.07257583307839861,0.036222272488360074,-0.0435360817333735,-0.00915791389012987,0.23504839439914343,0.08610596648464147,0.327328318805275,0.08345077456938084,0.0032859157852433703,-0.12001299740671814,-0.1387155251986304,0.1588337338389351,0.90126199757427,0.16638217702449554,0.1258833270676859,0.06966874949310078,0.10456114684072612,0.06336145625934424,0.14572252634771776,0.07336030977624397,0.0699707042205858,0.7957523031636581,0.7588487096054292,1.0,-0.1341994693692815,-0.24504882729951843,0.031444536228138545,0.032539775430273345,0.10179187434485087,0.059500235449629194,0.11366391698385173,0.06032661253274616,0.10708470156744261,0.16028910451483433,0.14135481177838582,0.15131637195845662,-0.024127923120635837,-0.03913445637602454,0.15561228456159523,0.01799330851166228,0.05518718611567985,0.037648645813600626
initial_response_size,0.0816083930254272,0.0041367116283271554,0.14562423895393464,0.016839617454951366,0.04525944852969019,0.04218594710627002,-0.056939700361733535,0.24985144492971662,-0.015804843738998795,0.1859215717745121,0.0035889789133498294,0.08930909997348833,0.11305484742712406,0.037352723735133014,-0.1364593804790706,0.04149465975420353,0.008822771611238275,0.024760288385214647,0.024461886183382707,0.0632603911577365,0.03937272308476648,0.007380435103472116,0.2622666689260114,-0.06466201076126848,-0.10847345076152785,-0.1341994693692815,1.0,0.16337818860031528,0.01103924258804,0.053035572452535,-0.03642565183163627,-0.023129112092960067,-0.017645393973736847,0.17612464289621627,0.1447092841999796,0.05376352723952382,0.0861494060149142,0.02873024509249583,-0.012493358490274173,-0.004992874510387302,-0.007242009683128238,-0.006615545543422857,-0.009704376201371375,-0.024978149039474085
initial_response_ratio,0.10817016202797178,-0.04840421799945732,0.044548758763017164,-0.05800685090191366,0.0821184378095322,0.03819646781188326,-0.22681881381726646,-0.05029254321674893,-0.150566839461539,-0.10196507157839871,-0.05057401681667031,-0.09196412020836826,0.1269718964445561,-0.07939017950875614,-0.19187492532362274,-0.12009742735544751,-0.0949912269158409,-0.054675458246620914,-0.06788720254555528,-0.06134990626321752,-0.10437854158074363,-0.18424221071274505,-0.03964600495038761,-0.32802919302410793,-0.31682458241011724,-0.24504882729951843,0.16337818860031528,1.0,-0.009197706214191335,0.011692201000129307,-0.059768264715248945,-0.036406653015393156,-0.039507887963172526,-0.02901171761067058,0.04778837690179184,-0.026755827146438062,-0.059827991751252294,-0.06506195989380933,-0.03722718391796296,-0.0076717586378589105,-0.06925971764632893,-0.010033717412815472,-0.014284572933167504,-0.025463632384503596
kword_auction,-0.013222830493473869,0.023392625309723518,0.02835933221528452,0.09568622196024289,-0.006617879914048299,-0.006715573895840798,0.037275394875792546,-0.0038474938082922266,0.079267446062933,0.013409407107123315,-0.016276131469734348,0.0456489912400959,-0.011554600571045322,0.013318870287705082,-0.02386913894890199,0.005686108777629956,0.040973338710097874,0.013872536226712662,-0.010916743760418799,0.036062617981968303,0.013237517042400206,0.05584323852589009,-0.0056633526814074235,0.026993082237809926,0.02940438954762316,0.031444536228138545,0.01103924258804,-0.009197706214191335,1.0,0.029973202096115335,0.02279356362764332,-0.005622208849944343,-0.006079480254540508,0.0050824378782984,0.0077192173784504615,-0.00804903585798196,-0.004258896778734377,0.01709190498296838,0.009271008724827277,-0.001426687214500716,-0.01047016876156624,-0.0018552507933051843,-0.0026358105087493436,-0.004496706730145304
kword_domain,0.0904217111564613,0.32076180022060624,0.16987781940830082,0.24075296972408897,0.07514998359452174,0.07108531030039106,-0.054167257770917195,-0.0032626708205599083,0.08880698958646722,0.03287457790419868,0.07355921261257865,0.015503317045389464,0.0967110870495241,0.018693557556195686,0.03491733653808362,-0.0020758444977260135,0.005690673374953848,0.00965889071038981,-0.004903935124925374,0.030730854788532918,0.04997997688136347,-0.024739620999558214,-0.002374754723765652,0.0789648844156917,0.06910210861678873,0.032539775430273345,0.053035572452535,0.011692201000129307,0.029973202096115335,1.0,0.06582434973943875,0.09846816719908494,0.08974485582853815,0.05997127544673931,0.14890193206142754,0.25457157279189113,0.04713648017918399,0.2684215899228897,0.12911508270692892,0.004113731246113662,0.04130323163980452,0.001668903882838208,0.009936530007109855,-0.006582536899005748
kword_regist,-0.06063835699755933,0.29118032070436173,0.2928037398196619,0.22926620130619152,-0.01119923342139983,-0.0036998047732310843,0.07570910303575638,0.04854749251160326,0.051204576602873655,0.045868284206674374,0.0024169873710024278,-0.010345066481563867,-0.051891570608355614,-0.009731594320675371,0.11965672873188024,0.05523131110221045,0.03090965275546257,-0.008579127903032316,0.012209412346556354,-0.00825316684861858,0.028903431053458883,-0.03127566684668324,0.04512788382008922,0.08994078492449044,0.0853123730264775,0.10179187434485087,-0.03642565183163627,-0.059768264715248945,0.02279356362764332,0.06582434973943875,1.0,0.2861524707068339,0.07334115591447453,0.20454757062655798,0.04219422268488912,0.20385067566074314,0.21905970470771138,0.245068589984923,0.44961699889441226,0.0019219490745223638,0.10888502261269052,0.023197994014119597,-0.011866112979506757,0.12649471225875794
