uuid,tags,url,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten,language,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,ip,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,number_redirects,structural_hash,Unnamed: 0
d08be74a-5f38-4ee7-a4ba-9d90c6dc7a94,"['not_parking', 'selected_captures']",http://hhs.gov,False,38,1,0,False,True,0,4,1,0,0,7,0,13,1,18,0,0,0,0,0,0,unknown,True,3855,3,17,True,False,False,"{'v4': [], 'v6': []}",True,69,10,53.1,58,40.82608695652174,155,0.3582360570687419,2474,0.9863013698630136,0.9999060295248638,0.9983323215108582,0,0.0,6,4f488484dd074a30169c10915ecf89fe,
653847c9-989d-4db7-b44b-0cdd0216c785,"['not_parking', 'selected_captures']",https://twint.ch-7w6.buzz/de/pay/35920?type=2,False,4,0,0,True,True,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,unknown,False,321,0,0,False,False,False,"{'v4': ['188.114.96.3', '188.114.97.3'], 'v6': ['2a06:98c1:3120::3', '2a06:98c1:3121::3']}",False,2,0,0.0,1,57.0,70,0.0591900311526479,302,0.0,0.0,0.0,2240,0.3000267881060809,0,ef06353412bdc2434aa1c0dc20fe9ac7,
7e8bf504-0579-420f-b821-9b5bca51dbfd,"['not_parking', 'selected_captures']",media-cdn.atlassian.com,False,3,0,0,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,unknown,False,194,0,0,False,False,False,"{'v4': ['13.227.62.12', '13.227.62.68', '13.227.62.125', '13.227.62.6'], 'v6': []}",False,2,0,0.0,2,27.0,29,0.0979381443298969,175,0.0,0.0,0.0,167,0.0297682709447415,1,f03b7a8e3d22947816e8bec34cfd8fed,
15b9b3dd-c44a-4410-947c-a107ff1e950f,"['not_parking', 'selected_captures']",http://xn--colefranaise-rdbt.fr,False,21,0,0,True,True,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,unknown,True,226,0,1,False,False,False,"{'v4': ['51.91.236.255'], 'v6': ['2001:41d0:301::29']}",False,7,5,54.8,3,45.71428571428572,76,0.3672566371681416,143,0.1111111111111111,0.0021012799188569,0.0,0,0.0,1,caa4faec2c2ad3959c0156625a95f388,
4294234f-0b22-428c-9d4b-0ccdda761edc,"['not_parking', 'selected_captures']",https://tinyurl.com/6aau9bfz,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,157,1,2,False,False,False,"{'v4': ['172.67.146.240', '104.21.28.176'], 'v6': ['2606:4700:3035::6815:1cb0', '2606:4700:3037::ac43:92f0']}",True,0,0,0.0,0,0.0,0,0.0,157,0.9444444444444444,1.0,1.0,0,0.0,4,b70fc88352c264763c1f4907391b93e0,
66a1ca67-e738-47f0-9b68-0d2931eebe67,"['not_parking', 'selected_captures']",http://narod.ru,False,16,0,0,False,False,0,1,0,0,0,1,2,1,0,12,0,0,4,0,0,0,unknown,False,18497,1,19,False,False,False,"{'v4': ['195.216.243.246'], 'v6': []}",False,71,8,65.125,37,32.29032258064516,102,0.0379521003405957,17795,0.5466666666666666,0.3491179721052558,0.1419906258615936,178,6.730006869900271e-05,7,59d3ba4a7ada8a08bc8d8c58eddf0afe,
cf907a67-f9cf-4ffc-9eb6-46618a04f292,"['not_parking', 'selected_captures']",http://ameli-polesante.fr,False,354,6,3,True,True,1,0,6,1,9,179,16,4,458,49,4,0,3,0,1,10,unknown,True,2165,1,15,False,False,False,"{'v4': ['45.139.104.97'], 'v6': []}",False,47,0,0.0,6,4.042553191489362,51,0.366743648960739,1371,0.0,0.0,0.0,162,0.0001319792157175,2,8bacb15d160df2f32b09884469458b50,
d81e5104-ccf8-4aa3-91f6-e50096e782e0,"['not_parking', 'selected_captures']",http://amazon.com,False,251,5,2,False,False,0,8,114,1,0,15,14,0,0,3,2,0,0,0,0,0,unknown,False,4331,1,229,True,False,False,"{'v4': [], 'v6': []}",True,350,8,271.75,319,230.5217391304348,568,0.6372662202724544,1571,0.9948586118251928,0.9999555744280956,0.998820515789169,163,4.442557190428715e-05,41,8ef97c47da9cc89df906fe55736aa986,
691a6d89-6e8c-40fb-b6ac-0af77d77fb9c,"['not_parking', 'selected_captures']",fs.itm.orangecyberdefense.com,False,1,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,59,0,0,False,False,False,"{'v4': ['90.102.24.211'], 'v6': []}",False,3,0,0.0,3,20.33333333333333,25,0.5932203389830508,24,0.0,0.0,0.0,0,0.0,3,b7973890fa79a1d0d4b36876cd78e268,
8859af51-dc32-45cd-b3fa-3f6a8690465d,"['not_parking', 'selected_captures']",track.dealfinder.top,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,31,0,0,False,False,False,"{'v4': ['104.21.82.8', '172.67.167.132'], 'v6': ['2606:4700:3035::ac43:a784', '2606:4700:3033::6815:5208']}",False,0,0,0.0,0,0.0,0,0.0,31,0.0,0.0,0.0,0,0.0,1,36cf8b86f49efba6cac71f7cdc150dbb,
c26b8e43-46ad-4e92-9e6b-5a3b9e6bbced,"['not_parking', 'selected_captures']",http://nps.gov,False,36,0,0,True,True,0,0,0,0,0,7,0,0,3,14,0,0,0,0,0,0,unknown,True,5040,1,15,True,True,False,"{'v4': ['52.6.8.53'], 'v6': ['2600:9000:20aa:0:1:983:9400:93a1']}",False,284,10,32.5,247,27.42957746478873,64,0.7170634920634921,1426,0.123076923076923,0.0765675765645805,0.0,167,5.559254327563249e-05,2,b83f61878d227ce135193ce130f415fa,
363e999f-97c1-48de-8eaf-619efe83f578,"['not_parking', 'selected_captures']",http://utexas.edu,False,70,0,0,False,False,0,2,0,0,0,1,2,0,1,33,0,0,0,0,0,0,unknown,True,5627,1,16,False,False,False,"{'v4': ['23.185.0.4'], 'v6': ['2620:12a:8000::4', '2620:12a:8001::4']}",True,116,4,35.25,89,32.426086956521736,152,0.4208281499911143,3259,0.9743589743589745,0.9999798099216288,0.9942551154296252,162,2.019007837115421e-05,4,52faaa96bc24f5d917931ce34eeb67f2,
11cd9b1b-6d5f-4919-9ed6-ce0edfd9ddce,"['not_parking', 'selected_captures']",http://cb-mobile-login.app,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,153,0,1,False,False,False,"{'v4': ['172.67.165.95', '104.21.91.33'], 'v6': ['2606:4700:3030::6815:5b21', '2606:4700:3033::ac43:a55f']}",False,0,0,0.0,0,0.0,0,0.0,153,0.7142857142857143,0.9915619062670712,0.0,0,0.0,2,656b5715e8d5a626dfd2cd75696baf8e,
